Price,GPU,Core Clock,Boost Clock,CUDA Cores,Stream Processors,Memory Size,Memory Type,Memory Interface,Thermal Design Power
860.00,NULL,1607MHz,1733MHz,2560,NULL,8GB,NULL,256-Bit,NULL
445.00,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
440.00,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
489.00,GeForce GTX 1060,1506 MHz,N/A,1152,NULL,3GB,GDDR5,192-Bit,120W
249.99,GeForce GTX 1660 Ti,NULL,1845 MHz,1536,NULL,6GB,GDDR6,192-Bit,160W
489.00,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
51.94,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
439.99,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
399.00,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
93.74,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
368.00,GeForce GTX 960,1304 MHz,1367 MHz,1024,1024 Stream Processors,4GB,GDDR5,128-Bit,120W
489.00,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
299.00,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
446.86,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
239.88,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
79.99,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
560.00,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
399.00,GeForce GTX 960,1304 MHz,1367 MHz,1024,1024 Stream Processors,4GB,GDDR5,128-Bit,120W
